 ,"Employment: by employment status, by economic activity",,,,,,,,,,GDP deflators: by expenditure components,,,,,,,Unit labour cost: by economic activity,,,,,,,Hourly labour cost: by components and by economic activity,,,,,,,Exchange rates: effective exchange rates,US and Japan: main economic and financial indicators,,,,,,,,,,,,,,,,,,,,,,,Industry and commodity prices: by type of goods and by industry,GDP: by expenditure components at current prices,,,,,,,GDP: by expenditure components at constant prices,,,,,,,Value added: by economic activity at current prices,,,,,,,,,"Value added: by economic activity, chain-linked volumes",,,,,,,,,"Confidence indicators: economic, manufacturing, consumer, construction, retail trade, services"
Q1-1996      ,126331.38,125352.2,104886.86,20465.34,6911.65,26353.47,9146.47,31088.26,15005.25,36847.09,94.18451,93.05932,93.40014,92.43735,95.1413,95.76199,92.59385,97.18463,110.42426,103.72775,95.46374,100.621,86.64315,91.75486,NA        ,NA        ,NA        ,NA        ,NA ,87.5,82.7,113.30189,99.6,9247.2,-3.00333,59.88853,487375,16.24907,18.49125,-1.10172,7.83557,7.65088,8.41355,6.24884,11.79935,10.05472,12.09642,5.92081,33.49,30.92,1.55,3.62,-5.99,-2.72,0.32,78.01631,1430188.81,827469.14,291859.75,283604.98,3906.12,417319.09,393970.26,1491248.78,869770.75,309864.12,292131.62,NA ,426894.24,415802.69,1287014.56,37408.89,295426.18,74078.43,267488.13,323463.72,289149.21,NA ,143174.26,1336565.58,34751.47,294476.7,79625.57,273198.57,341596.94,313436.62,NA ,154707.41,80.9
Q2-1996      ,126565.7,126630.46,106133.88,20496.58,6999.16,26413.19,9379.93,31504.52,15219.32,37114.34,94.40931,93.51473,93.74923,92.43442,95.14446,95.33162,92.98372,96.74296,107.8232,103.57859,91.53392,100.09989,86.91443,91.37602,NA        ,NA        ,NA        ,NA        ,NA ,94.3,90.9,110.72222,99.6,9407.1,-2.41154,58.72383,492226.2,16.38012,18.95471,-1.26587,7.99839,5.02428,8.37617,4.54613,11.91372,8.44392,11.89643,4.43868,27.09,26,1.18,0.56,-2.07,9.83,1.12,78.19222,1446506.51,834326.13,294520.44,294643.3,-1432.05,418899.05,394450.36,1502040.26,871901.15,312338.51,303143.23,NA ,430292.6,414644.06,1303841.16,37898.2,296957.93,78915.11,271676.28,326448.93,291944.71,NA ,142665.35,1348030.81,35378.61,294363.47,84316.1,274663.25,344289.07,315769.56,NA ,153937.74,80
Q3-1996      ,126848.07,127584.02,107010.5,20573.52,7113.98,26437.74,9625.57,31800.77,15451.15,37154.79,94.87458,93.98182,94.05865,92.80158,95.27885,95.05295,92.68051,97.19945,107.19394,103.99914,93.48587,100.61204,87.45255,92.13476,NA        ,NA        ,NA        ,NA        ,NA ,91.7,89.7,111.82296,98.9,9488.9,-2.17923,58.41226,493110.1,16.63179,19.41025,-1.56536,8.33954,5.64828,8.39348,5.04374,11.84279,5.38973,11.91097,3.59425,29.02,29.22,1.31,0.55,-0.99,-1.58,1.9,78.66803,1461189.79,841126.88,298138.82,296329.89,-1164.23,425174.78,398416.33,1509218.26,875753.73,314838.38,304343.76,NA ,437781.1,420035.9,1314385.26,37451.17,298156.38,78821.46,273264.55,331041.97,295649.73,NA ,146804.53,1353190.4,35741.2,294731.51,83646.82,275597.52,347751.43,316467.07,NA ,156024.53,80.2
Q4-1996      ,127090.29,127268.76,106899.17,20369.58,7011.33,26304.46,9578.47,31607.54,15519.68,37247.28,95.12787,94.31927,94.4117,93.3603,95.62193,95.48616,93.41088,97.46457,108.6666,103.22242,94.2671,100.80318,87.31165,92.54441,NA        ,NA        ,NA        ,NA        ,NA ,97.9,96.2,109.28819,98.7,9592.5,-1.60912,58.23981,500317.7,16.79349,19.15622,-1.23026,8.50231,4.97172,8.56052,4.59064,11.74059,1.60072,11.65071,4.15416,29.43,27.35,1.36,2.14,9,18.31,1.17,78.97322,1461862.51,840011.91,298839.97,295510.38,238.4,437973.58,410711.72,1514326.36,876137.58,315552.86,304210.38,NA ,451532.3,432280.7,1318071.07,36910.45,299788.67,77997.24,273604.26,332255.66,297514.78,NA ,143791.44,1361822.44,35400.55,297422.71,82930.23,277863.06,351509.29,317393.38,NA ,152283.43,80.2
Q1-1997      ,127235.11,126177.3,105846.14,20331.16,6792.58,26111.27,9059.29,31447.41,15559.19,37207.56,95.50998,94.67493,95.04262,93.51417,95.73822,96.2762,94.1395,97.89102,105.50227,104.13393,96.0753,100.20947,89.18591,93.15307,NA        ,NA        ,NA        ,NA        ,NA ,90.1,85,105.63465,97,9666.2,-1.5153,58.14889,504736.3,17.01902,19.33343,-1.36664,8.54236,4.28271,8.55057,3.98066,11.9265,2.75941,11.66278,4.33304,33.88,31.05,1.56,0.62,-8.19,-3.32,-0.87,79.57256,1461573.53,841695.92,297284.08,290640.76,3006.68,447308.05,418361.97,1520168.9,879126.59,315984.55,301271.32,NA ,460828.5,440290.72,1314683.68,37124.74,297055.83,75173.8,275284.53,333478.39,296566.39,NA ,146889.85,1363927.31,36083.58,298094.54,80364.44,280722.75,350672.54,318493.89,NA ,156183.58,80.5
Q2-1997      ,127580.5,127668.27,107217.96,20450.31,6871.24,26200.91,9448.46,31715.9,15913.13,37518.63,95.80356,95.0087,95.27544,93.79459,96.2815,96.57554,94.55651,97.39136,105.15081,102.45851,94.83442,99.49096,89.35175,93.89723,NA        ,NA        ,NA        ,NA        ,NA ,95.8,93.5,101.98268,96.7,9809.6,-0.84936,56.64858,500701.6,17.58103,19.89066,-1.05615,9.39662,2.09278,8.58543,2.49098,11.71891,7.44932,11.55253,4.17248,28.04,25.28,2.27,2.42,-1.79,10.09,0.7,79.88567,1477661.72,848286.84,298543.28,297490.61,1804.64,463797.64,432261.29,1539459,888101.08,317864.28,308105.91,NA ,478739.74,455236.77,1328585.95,37472.41,302275.44,76822.93,278970.02,335563.68,297481.48,NA ,149075.77,1380471.8,36161.13,303612.81,82248.45,284223.24,355019.35,319592.47,NA ,158955.42,81.1
Q3-1997      ,128058.89,128819.79,108300.85,20518.94,6981.11,26433.27,9677.6,32027.29,16170.86,37529.66,96.24595,95.51657,95.98493,94.05011,96.52477,97.21454,95.41728,97.41021,105.93443,102.34076,95.92257,99.09793,89.63508,94.05704,NA        ,NA        ,NA        ,NA        ,NA ,93.4,92,97.45451,95.8,9932.7,-0.61951,56.10166,498315.3,17.8374,19.97212,-1.2653,8.97243,5.26136,8.69611,4.45538,11.89649,6.26025,11.33472,4.8258,28.63,28.14,2.19,3.01,3.05,-0.25,1.51,80.55327,1487768.8,852877.36,297949.56,298897.19,3201.85,482588.53,447745.69,1549734.13,890186.93,317840.71,310194.5,NA ,497123.84,469485.78,1337221.71,37665.23,304463.68,76531.75,281587.01,338197.58,298776.45,NA ,150547.1,1389744.04,36068.99,306366.93,82079.03,286926.54,357933.01,320691.67,NA ,159956.04,81.7
Q4-1997      ,128460.78,128669.93,108315.26,20354.66,6890.55,26433.62,9634.64,31872.48,16272,37566.64,96.5815,95.81701,96.16068,94.59185,96.77766,97.22428,95.28823,97.30443,102.93587,101.24689,95.56723,98.83188,89.80787,94.63842,NA        ,NA        ,NA        ,NA        ,NA ,98.5,98.2,100.11037,96,10008.9,-0.58079,55.90082,499786.8,17.91683,19.92843,-1.6644,8.90811,1.51624,8.45689,2.73759,11.95869,1.74229,11.62465,3.44306,28.69,25.62,2.66,6.57,10.65,19.83,1.49,80.83468,1507972.84,862664.65,299432.78,306211.35,5667.1,491687.09,457690.13,1565019.34,898595.7,317408.09,316949.76,NA ,506683.29,480763.72,1357091.53,38659.04,311870.98,77376.59,284950.48,342207.1,302027.35,NA ,150881.31,1405661.57,36906.83,312458.44,82687.97,289848.3,362219.44,321611.03,NA ,159245.26,82.7
Q1-1998      ,129138.61,128105.59,107719.57,20386.02,6715.1,26288.65,9236.04,31801.86,16359.61,37704.32,96.80127,95.86064,96.31399,94.71998,96.48889,97.39589,94.90417,96.92253,103.75787,101.01963,95.40857,97.60812,91.15925,94.20387,NA        ,NA        ,NA        ,NA        ,NA ,89.3,87.1,97.17408,96.5,10103.4,0.12557,55.69456,490517.5,18.32503,20.40896,-1.69315,9.06558,8.00568,7.93007,8.57427,11.96955,4.14042,12.24986,5.07185,34.8,29.47,2.46,-11.9,-11.91,-5.81,1.36,80.72344,1514346.73,865294.91,300460.93,308642.67,11009.33,496594.88,467655.99,1575800.33,904507.83,319562.01,322033.6,NA ,513570.02,495921.55,1363209.09,37540.84,312875.01,77092.85,289488.97,343119.39,303092.03,NA ,151137.64,1413365.28,36369.21,312039.55,82775.41,295091.99,364102.25,323146.62,NA ,162385.83,82.4
Q2-1998      ,129908.89,129921.18,109344.47,20576.72,6755.78,26446.89,9512.26,32334.1,16841.74,38030.4,97.55569,96.49991,96.76261,95.27057,97.13059,96.88323,93.94906,97.67411,102.21479,101.80973,96.34762,98.82858,92.15859,95.0108,NA        ,NA        ,NA        ,NA        ,NA ,97.3,95.2,98.45123,97.4,10194.3,0.21153,54.10343,488350.4,18.21689,20.03047,-2.10008,8.83312,6.92882,7.78425,7.24438,12.35382,10.63976,12.44326,6.18457,24.94,23.41,3.03,-27.59,-14.82,12.14,-4.79,80.95698,1532487.23,875648.11,303413.03,311711.78,9330.96,503803.59,471420.24,1582423.3,911663.64,320860.27,323177.59,NA ,523577.68,505167.29,1374724.52,38067.83,314667.69,76660.47,291363.12,347243.8,306721.62,NA ,157762.71,1418344.07,36545.88,313140.42,81882.92,295781.86,366800.44,324346.87,NA ,164052,83
Q3-1998      ,130590.7,131310.38,110559.21,20751.17,6829.7,26616.44,9731.24,32829.71,17218.77,38084.53,97.77938,96.57428,96.84348,95.47588,97.11984,96.1235,92.74554,98.13636,103.09762,102.28999,96.44564,99.11565,93.18862,95.66447,NA        ,NA        ,NA        ,NA        ,NA ,94.2,93.8,100.80495,97.4,10328.8,0.38204,52.9877,490185.5,18.53833,20.27124,-2.38908,8.80998,5.06198,7.82114,5.39515,12.45682,4.10958,12.32382,4.0197,28.42,26.25,2.62,2.68,-2.52,4.92,2.71,81.06843,1548474.57,887777.72,305714.08,318888.72,7413.94,501904.54,473224.43,1591222.39,921014.35,321776.39,329814.16,NA ,524520.42,512408.89,1389634.5,38073.68,316233.14,77602.93,295830.84,353081.28,308812.61,NA ,158840.08,1425935.01,36536.31,313545.17,82231,297904.38,370588.27,325340.14,NA ,165266.83,83.1
Q4-1998      ,131181.27,131482.32,110902.12,20580.2,6674.47,26631.72,9740.57,32740.17,17283.02,38412.38,98.18075,96.76331,97.01598,96.00272,97.05274,95.34895,91.35638,99.04215,104.10327,103.89696,97.17679,100.21023,93.5837,96.23228,NA        ,NA        ,NA        ,NA        ,NA ,99.1,100.4,103.89528,96.9,10507.6,0.49848,52.67385,491284.7,18.03452,20.33201,-2.40554,8.89508,6.11282,7.66079,6.99357,12.84931,3.37328,12.20437,5.54182,27.27,24.24,2.66,11.31,-4.92,13.4,-2.61,80.99817,1565336.54,900899.51,309929.78,323052.89,7363.88,496958.72,472868.24,1594283.31,928507.11,322845.22,332823.63,NA ,521213.85,517539.63,1401476.4,36775.43,315647.64,78049.54,298050.11,359644.1,313309.58,NA ,163860.14,1429546.58,35965.69,312402.96,81884.69,297850.05,374357.64,327504.68,NA ,164696.08,82.3
Q1-1999      ,131728.89,130707.59,110269.94,20437.65,6479.2,26326.11,9416.83,32558.12,17357.22,38570.12,98.14562,96.5878,96.98712,96.45282,96.75149,95.16726,90.72493,98.54653,99.55488,102.47609,96.68043,99.57323,94.94277,96.26271,NA        ,NA        ,NA        ,NA        ,NA ,91.5,89.4,100,96.7,10601.2,0.62523,52.07556,487614.5,18.71405,20.64555,-2.44404,9.19237,11.36552,7.90986,10.99819,12.51581,4.58623,11.87159,6.2479,31.92,28.7,2.07,-0.88,-15.95,-6.03,2.63,81.39594,1580875.6,908978.85,314652.46,327919.56,7857.78,498752.75,477285.81,1609098.8,936032.29,325918.49,338555.74,NA ,523665.47,525455.88,1416284.8,37472.77,315294.66,79846.67,299663.73,365936.88,318070.1,NA ,164590.8,1440229.13,37687.98,313865.34,83435.7,301707.78,373599.54,330225.57,NA ,168858.99,82
Q2-1999      ,132199.05,132186.26,111746.13,20440.13,6594.85,26245.08,9723.08,33012.99,17809.1,38801.17,98.52121,97.27978,97.4082,97.23909,97.29172,95.36815,91.88471,99.21843,99.32159,102.40852,97.6931,100.18775,96.13025,97.40254,NA        ,NA        ,NA        ,NA        ,NA ,99,97.7,97.26001,96.4,10684,0.69602,50.11978,490503.2,17.99225,20.43684,-2.86313,9.25509,9.84863,8.00743,9.80573,12.89965,3.06152,11.08712,6.12395,23.28,22.76,2.38,-18.1,-13.81,10.39,-6.19,82.016,1596447.83,917856.99,316881.76,335143.27,5386.42,516865.53,495686.15,1619280.4,941433.68,325675.56,344232.01,NA ,541764.07,539105.41,1428542.58,37177.09,315752.24,80771.37,302019.54,371620.95,321201.38,NA ,167905.25,1449861.39,37851.53,315872.18,83778.39,303337.91,378320,331018.29,NA ,169402.87,81.8
Q3-1999      ,132971.07,133683.66,113126.75,20556.91,6683.52,26476,9976.86,33622.49,18190.21,38734.59,98.75027,97.78164,97.71108,98.09187,97.95429,96.20384,93.52122,99.12322,98.4902,101.65522,97.81815,99.88639,96.3755,98.06714,NA        ,NA        ,NA        ,NA        ,NA ,96,96.5,95.52751,97.4,10819.9,0.7581,49.17552,489333.2,17.69618,20.58652,-3.22977,9.2582,10.65586,7.81064,11.06419,12.83966,3.63152,10.78409,6.03584,26.29,26.07,2.37,8.83,0.64,4.4,2.28,82.6383,1619246.61,930101.82,321457.11,343054.55,3088.46,538621.71,517077.05,1638684.08,951110.33,327520.3,349990.69,NA ,559664.1,552545.62,1447623.81,37351.89,320876.9,82489.29,306431.22,375355.97,325118.54,NA ,171622.8,1466397.77,38274.53,320457.4,84614.82,308515.72,382215.26,332503.38,NA ,172278.66,82.2
Q4-1999      ,133637.12,133958.6,113472.62,20485.98,6544.44,26494.08,10039.36,33537.04,18322.45,39021.23,98.98364,98.20086,98.2148,98.69666,98.12585,97.04645,94.90099,99.18949,98.07429,100.91622,98.45325,100.01223,97.25474,98.75077,NA        ,NA        ,NA        ,NA        ,NA ,100.7,103.2,93.29551,97.2,11014.3,0.67238,48.91043,492579.6,17.87463,21.06234,-3.46515,9.56997,10.01249,7.82424,10.74881,12.65639,3.22763,10.68332,6.42082,27.58,24.28,2.14,19.01,13.28,11.47,2.09,83.07381,1641810.52,944058.9,325176.39,346479.46,7892.5,558412.45,540209.19,1657783.33,960596.39,329311.07,352898.82,NA ,575185.22,568908.8,1466514.26,37645.19,327446.3,83414.59,309361.02,381374.71,327272.45,NA ,175296.26,1482773.37,38596.99,326100.06,85349.05,311884.72,387831.29,333074.6,NA ,175009.64,82.4
Q1-2000      ,134459.5,133331.9,112838.6,20493.3,6365.97,26220.53,9801.49,33383.09,18455.68,39105.15,99.38106,99.18263,99.02234,99.24975,99.04021,98.14517,97.65992,99.33935,99.21252,100.51247,98.94186,100.02087,97.90498,98.89477,78.3,73.5,73.4,73.8,71.4,94.2,92.7,88.74971,100.3,11043,1.79103,47.91998,501822.2,18.53182,20.52457,-3.77597,9.2154,11.20099,7.30796,12.1281,13.0337,2.16173,11.44706,7.66285,28.82,28.45,2.47,12.46,5.67,0.66,4.48,84.73259,1668458.37,959682.78,330708.81,358314.51,7465.11,586740.99,574453.83,1678265.68,968764.59,333101.22,361650.8,NA ,597628.9,587958.63,1492420.13,37729.25,329065.25,85920.35,314826.88,392718.05,332160.35,NA ,176038.23,1502922.2,38385.21,331535.11,86814.82,316150.3,394892.23,335239.81,NA ,175339.37,83.8
Q2-2000      ,135424.47,135350.73,114709.82,20640.91,6504.74,26333.23,10082.28,33935.74,18975.93,39518.82,99.75433,99.59823,99.52255,99.64132,99.67733,99.43646,99.04035,99.5485,99.65923,100.01804,100.24375,99.76377,99.46829,99.24204,79.2,82,82.8,79.7,81.2,102,100.7,86.15525,98.9,11258.5,1.52376,45.14394,502577.3,18.04411,21.24135,-3.88759,9.7469,13.62123,7.38487,14.14748,12.61935,0.19553,11.05963,5.58119,23.97,22.2,2.64,-21.08,-17.35,8.73,-6.12,85.45309,1689248.9,971972.47,332522.28,362311.47,9735.57,610232.99,597525.88,1693288.82,976559.92,333696.71,363454.98,NA ,613630.4,603244.53,1511892.86,37855.56,336183.04,85471.56,319792.15,396851.31,335739.24,NA ,177356.05,1515423.82,38231.19,336285.69,85759.03,320679.25,397358.01,337110.28,NA ,177856.24,83.8
Q3-2000      ,136180.08,136948.5,116123.35,20825.14,6561.08,26665.9,10280.73,34548.35,19362.05,39530.39,100.23266,100.33749,100.34749,100.30441,100.20036,100.46949,100.73792,100.35158,98.87208,99.87913,100.02251,100.02134,100.72003,100.82587,79.9,78.2,78.7,76.7,77.3,99.3,99.9,84.57623,101.2,11267.9,1.39556,43.85749,503039.6,18.2023,20.83655,-4.30282,9.64478,14.38955,7.31882,13.73318,12.59879,1.13741,11.31467,6.18928,28.67,25.78,2.59,11.31,-1.02,-0.43,1.25,86.06474,1705399.51,982994.58,336359.48,367460.03,9432.46,632693.1,623540.14,1701587.66,979687.85,335365.7,366759.9,NA ,629784.86,619033.05,1529919.52,38538.08,340000.56,86426.44,323546.41,401544.13,339863.9,NA ,175479.99,1525432.71,38502.62,338813.38,86210.44,323059.23,400463.3,338364.02,NA ,176158.65,84.2
Q4-2000      ,136972.19,137405.11,116581.07,20824.04,6504.98,26744.07,10260.02,34614.79,19452.46,39828.8,100.61769,100.86375,101.09247,100.79282,101.0661,101.77244,102.33291,100.76057,102.25618,99.59036,100.79188,100.19401,101.9067,101.03733,80.8,84.7,84.9,84,85.1,104.4,106.7,82.44323,101,11334.5,1.1945,43.13381,508117.7,17.38026,20.54839,-4.21885,9.22408,10.0566,7.24273,10.42357,12.50233,0.03396,10.78882,4.86004,28.44,24.31,1.79,7.09,12.91,7.57,0.53,86.61769,1724217.96,992496.98,339987.66,370445.61,13043.7,665067.25,656823.25,1714182.57,982134.45,337414.6,366665.95,NA ,653690.17,642106.88,1547394.33,38621.4,344374.46,87762.68,328575.31,405197.53,342862.96,NA ,176823.62,1537848.12,37625.27,342989.13,86796.74,326851.97,403597.47,339912.35,NA ,176343.63,84.7
Q1-2001      ,137284.41,136242.74,115524.15,20718.58,6379.83,26585,9984.2,34217.01,19396.49,39680.2,101.46591,101.39666,101.46623,101.64725,100.89333,101.13452,100.93867,100.97822,103.42388,99.95632,101.16684,99.79533,101.72614,101.83152,81.2,76.3,76.2,76.4,74.2,97.2,96.4,85.7186,102.2,11297.2,0.92965,43.08701,510464.3,17.41549,19.85286,-4.11162,8.72276,2.37243,7.19506,2.77631,12.70037,3.14375,10.80214,4.54765,30.04,28.54,2.34,9.03,-2.43,-4.14,3.27,87.45439,1751398.77,1007086.2,344702.91,373592.8,6438.89,659751.35,640173.37,1726924.85,993073.17,339270.17,370479.83,NA ,652704.96,634640.6,1573222.51,39479.48,348551.67,89359.62,335012.42,414293.43,346525.88,NA ,178176.26,1549245.25,37487.52,346142.99,87548.54,330182.82,407591.22,340292.17,NA ,177679.61,84.3
Q2-2001      ,137653.99,137580.43,116779.86,20800.57,6447.71,26538.85,10211.84,34644.89,19723.45,40013.69,102.15206,102.06643,102.30474,102.36829,101.34204,101.46644,101.21585,101.8407,104.6379,101.06284,101.96268,100.25499,103.76933,102.61059,81.9,84.8,85.6,82.5,84,105.2,104.3,82.88109,102.5,11371.3,0.1495,41.42429,507391.4,16.82352,19.5738,-3.72562,8.38821,2.79548,7.42477,2.24422,12.61949,4.92876,10.2214,7.21338,23.49,22,1.71,-27.27,-15.6,12,-4.59,88.04569,1764366.85,1019233.85,348343.3,372803.06,4859.52,658478.85,639351.72,1727969.92,996778.64,340426.5,368044.15,NA ,649263.8,632031.68,1583855.33,39771.2,345662.62,90103.36,339077.04,418233.86,351007.26,NA ,180511.52,1548284.15,37119.42,342713,87406.75,330833.21,408380.66,341831.11,NA ,179685.77,83.1
Q3-2001      ,138042.74,138787.45,117890.36,20897.1,6480.13,26628.43,10370.75,35199.93,20014.41,40093.81,102.73733,102.56744,102.66651,103.14232,101.74796,100.93049,100.40832,102.75251,104.16894,101.41138,101.72019,101.52752,104.88624,103.73444,82.8,81,81.6,79.4,80.1,103.1,104,84.18833,102.7,11340.1,-2.01937,41.90258,501539.8,16.25929,19.04717,-3.48956,7.77221,0.74331,7.50741,-0.44203,12.66143,9.14094,11.85652,9.00924,25.05,25.42,2.18,3.09,-8.53,-5.74,3.28,88.40864,1775711.9,1025422.28,352365.36,371672.68,2749.57,651391.74,627889.73,1729214.4,999319.59,341781.09,365475.22,NA ,645710.15,625717.51,1596063.86,39961.06,345766.27,92100.26,342081.5,421024.77,355130,NA ,179648.04,1551045.11,37590.06,341541.9,88311.06,331216.54,409808.39,342577.16,NA ,178169.29,82.7
Q4-2001      ,138282.46,138652.98,117825.88,20827.1,6378.45,26517.92,10327.09,35065.73,20001.97,40361.82,103.54229,103.13193,103.03685,104.13379,101.82129,100.36646,99.08357,103.55622,102.04627,102.2392,102.89355,101.86162,105.4559,104.88921,83.3,87.2,87.5,86.3,87.7,108.2,110.8,84.78816,102.7,11380.1,-1.56559,42.53208,499369.8,14.99145,18.13998,-3.35275,6.83267,1.11792,7.68628,-0.78144,13.08201,1.02962,10.26314,4.12769,24.59,22.73,2.06,4.41,5.84,10.12,-0.61,88.41921,1791772.7,1028108.83,359513.43,369510.78,-2730.74,648660.31,611289.93,1731337.66,998364.5,345403.93,363100.26,NA ,646648.44,617354.35,1611670.76,40063.99,343448.55,92871.68,343731.47,430654.01,360901.06,NA ,180101.94,1554449.35,38193.46,339357.71,88423.75,331913.2,411955.49,344605.75,NA ,176888.31,81.6
Q1-2002      ,138688.44,137584.36,116857.58,20726.78,6230.61,26235.52,10024.29,34728.29,19934.49,40431.16,104.27564,103.54344,103.56818,104.78278,102.41176,100.69786,98.53982,104.19827,102.47996,102.34356,103.86776,102.58283,106.48954,105.29059,84.1,79,78.7,79.9,76.5,100.7,100.2,84.31545,102,11477.9,-3.50329,42.90185,500942.4,14.86141,18.42845,-4.0859,7.12846,2.23394,7.57612,2.12208,12.92223,9.05174,11.80335,7.68419,30.71,26.62,3.44,9.17,-4.89,-6.68,2.53,89.62022,1808799.22,1034214.49,362766.88,371493.53,-1777.76,652179.67,610077.6,1735398.27,999082.26,346350.35,362913.63,NA ,647933.11,619431.78,1628405.84,39628.46,346136.35,93716.65,349244.87,433963.62,365715.9,NA ,180393.38,1559336.63,37785.42,339891.9,88353.93,333206.66,413302.44,346708.76,NA ,176014.1,80.6
Q2-2002      ,138744.07,138816.52,117979.64,20836.87,6327.68,26257.99,10225.59,34993.36,20241.03,40770.87,104.63048,103.95127,104.05206,105.36257,102.80799,100.78553,98.75705,104.42754,103.4765,102.17173,106.38396,102.74546,106.50589,106.14116,84.7,87.8,88.3,86.3,86.7,109.5,108.3,86.18955,101.5,11538.8,-3.93514,43.21873,504934.5,14.50708,18.38174,-4.41805,6.99126,0.83434,7.63561,0.36913,12.99928,2.03816,11.70952,6.83396,22.92,20.55,2.86,-28.31,-24.09,5.9,-8.64,90.12167,1823323.35,1042521.82,368094.83,367885.43,-1946.96,665437.07,618668.84,1743627.07,1002555.84,349547.57,358059.77,NA ,660683.32,626937.34,1639348.92,38413.16,349664.21,92779.56,350259.39,439279.13,368953.46,NA ,183974.44,1565579.7,37772.31,342362.51,86707.57,333751.73,417639.53,347300.24,NA ,178019.74,81.1
Q3-2002      ,138906.1,139585.46,118738.67,20846.79,6335.25,26343.14,10330.69,35332.33,20399.04,40845.01,105.44692,104.53593,104.47856,106.64364,103.04526,100.56356,97.87267,104.85711,104.01228,102.28587,106.66439,103.17388,107.15872,107.24196,85.7,83.9,84,83.3,82.8,107.7,107.6,89.11171,100.6,11596.4,-3.96199,43.84195,508813.2,13.88317,18.43917,-4.41761,7.07074,-0.40307,7.69413,-0.81468,13.10252,3.89757,11.13264,6.8777,23.79,23.63,2.73,1.12,-10.16,-8.19,-0.41,90.70378,1843941.96,1054320.54,373841.92,371671.17,-4876.64,668987.88,620002.91,1749867.18,1009864.83,350775.54,360957.27,NA ,665803.22,634105.42,1656612.11,38193.43,353213.11,94421.11,354306.69,443428.04,373049.74,NA ,187329.84,1569236.93,37595.57,343714.01,87120.68,335043.81,417774.79,347959.61,NA ,180636.56,81
Q4-2002      ,138848.06,139200.34,118401.34,20798.99,6214.18,26180.23,10282.04,35103.89,20322.25,41097.75,106.06705,105.30547,104.99021,107.10389,103.3694,100.36613,98.07124,105.3435,106.94516,102.21585,107.02621,103.25003,107.25869,108.13107,86.4,90.4,90.4,90.2,90.5,112.2,114.5,90.00695,100.8,11598.8,-4.46275,44.64879,509275,13.65821,18.4021,-4.63309,6.97315,2.31467,8.08241,1.58238,13.04704,4.20059,10.90316,9.3319,23.46,22.19,2.19,5.58,9.97,10.36,-1.69,90.9877,1857209.74,1063192.34,377610.5,375380.32,-3450.29,673852.77,629375.9,1751898.98,1013249.16,352737.15,363343.49,NA ,671765.72,642160.24,1669103.15,37761.09,352287.86,95191.52,357098.14,448820.36,377944.18,NA ,188106.59,1572981.18,36417.61,344171.98,87180.87,336869.81,419448.83,348897,NA ,178890.48,81.1
Q1-2003      ,138938.6,137858.67,117069.96,20788.71,5976.1,25905.35,10027.57,34752.34,20148.34,41048.97,106.52469,105.69704,105.9495,107.53429,103.79622,100.42715,97.93984,105.89057,109.82821,102.03308,108.794,103.86191,108.10765,108.87978,87.2,82,81.3,84,79.2,104.8,103.5,94.01235,102.1,11645.8,-4.68388,45.13065,507401.3,13.10115,18.2735,-4.97378,6.85346,1.58275,7.42801,1.30758,13.00094,9.07218,10.92663,8.8571,28.04,26.06,2.89,17.74,-1.83,-13.35,2.9,92.15468,1865149.82,1072712.74,379355.85,375960.47,5009.18,665965.86,633854.28,1751947.86,1013136.88,352971.92,362434.51,NA ,663573.82,647675.08,1677722.85,37846.97,353743.1,95402.83,357115.68,453752.23,379862.03,NA ,187426.97,1573037.5,35650.23,344191.95,86593.17,336493.8,420969.16,349079.14,NA ,178883.36,81
Q2-2003      ,139175.7,139301.95,118350.99,20950.95,6074.63,25936.52,10289.21,35300.58,20254.76,41446.25,107.11586,106.0995,106.15241,108.14196,103.92913,99.30204,96.26066,106.59033,111.27842,103.41394,109.55514,105.03374,108.58604,109.3474,87.8,91,91,91,89.6,113.9,112.2,98.18042,102.8,11738.7,-5.13985,46.21643,510593.2,13.25396,18.242,-4.79371,6.74513,-0.07849,7.50084,-0.68587,13.23933,10.71929,11.34498,13.57115,22.26,20.42,2.92,-26.46,-20.96,4.24,-5.79,92.6054,1875462.95,1077322.43,383287.79,378186.61,1186.08,654121.18,618641.14,1751910.63,1015547.55,354625.21,364110.39,NA ,659135.61,643134.63,1684694.06,37853.7,348069.19,97776.67,359985.04,458220.67,382788.8,NA ,190768.89,1570565.94,35018.75,340867.47,87237.29,336371.16,421129.24,349749.81,NA ,181353.65,80.5
Q3-2003      ,139560.23,140200.47,119112.33,21088.15,6260.82,25970.25,10334.03,35793.91,20546.26,41295.21,107.9207,107.09532,106.70184,109.83782,104.1653,98.8025,96.18253,107.41269,116.65494,103.14687,109.33187,105.0853,108.83738,111.50844,88.4,86.5,86.3,87,85.3,111.2,110.4,98.65181,102.3,11935.5,-5.55718,46.60492,514263.1,13.03952,18.55201,-4.62949,6.83358,0.36701,7.6318,-0.40111,13.50873,8.84847,11.55706,8.64097,25.05,23.26,3.72,9.28,-5.67,-3.73,1.45,92.89859,1899172.18,1089274.61,391912.81,382496.79,-6073.82,663123.07,621561.28,1760957.47,1021600.92,357032.41,367458.48,NA ,671681.52,646795.7,1707172.06,37311.31,350171.88,99099.82,364308.01,465101.52,391179.52,NA ,192000.12,1579683.79,34049.27,343227.66,87786.81,338973.94,424369.68,351072.66,NA ,181267.83,80.7
